date;Egyptology;nancy pelosi;Savings;ANC (African National Congress);air travel;isPartial
2023-01-01;0;1;54;0;4;False
2023-01-02;0;1;73;0;4;False
2023-01-03;0;2;78;0;3;False
2023-01-04;0;3;86;0;4;False
2023-01-05;1;3;74;0;4;False
2023-01-06;0;2;70;0;4;False
2023-01-07;0;6;54;0;3;False
2023-01-08;0;2;58;0;4;False
2023-01-09;0;1;63;0;2;False
2023-01-10;1;1;68;0;4;False
2023-01-11;0;0;59;0;4;False
2023-01-12;1;1;55;0;4;False
2023-01-13;0;0;55;0;3;False
2023-01-14;0;1;50;0;3;False
2023-01-15;0;1;51;0;3;False
2023-01-16;0;0;63;0;3;False
2023-01-17;0;0;63;0;3;False
2023-01-18;0;0;63;0;4;False
2023-01-19;0;0;59;0;4;False
2023-01-20;0;1;55;0;3;False
2023-01-21;0;0;53;0;3;False
2023-01-22;0;0;49;0;3;False
2023-01-23;0;1;65;0;3;False
2023-01-24;0;0;100;0;3;False
2023-01-25;0;1;85;0;4;False
2023-01-26;0;0;73;0;3;False
2023-01-27;0;2;64;0;2;False
2023-01-28;0;3;55;0;3;False
2023-01-29;0;1;53;0;3;False
2023-01-30;0;0;61;0;5;False
2023-01-31;1;1;86;0;4;False
