date;Commercial property;Hackney;Shamima Begum;Miriam Margolyes;air travel;isPartial
2023-01-01;25;67;1;16;13;False
2023-01-02;32;77;2;15;15;False
2023-01-03;34;83;2;39;10;False
2023-01-04;41;82;2;21;15;False
2023-01-05;38;80;2;19;12;False
2023-01-06;35;86;2;20;12;False
2023-01-07;29;75;5;14;9;False
2023-01-08;33;75;2;11;14;False
2023-01-09;38;78;2;8;8;False
2023-01-10;41;72;1;46;13;False
2023-01-11;41;75;49;16;15;False
2023-01-12;40;88;35;9;13;False
2023-01-13;34;79;17;15;10;False
2023-01-14;29;80;6;13;9;False
2023-01-15;32;63;3;11;11;False
2023-01-16;49;77;4;13;11;False
2023-01-17;35;98;3;5;9;False
2023-01-18;37;93;8;7;13;False
2023-01-19;33;80;6;9;12;False
2023-01-20;30;100;7;8;10;False
2023-01-21;21;90;5;7;11;False
2023-01-22;27;85;9;8;12;False
2023-01-23;41;86;8;8;12;False
2023-01-24;39;79;5;5;9;False
2023-01-25;38;81;7;6;13;False
2023-01-26;41;84;6;5;11;False
2023-01-27;34;90;4;8;8;False
2023-01-28;34;75;3;9;11;False
2023-01-29;28;74;3;6;10;False
2023-01-30;45;98;5;6;17;False
2023-01-31;42;87;5;5;14;False
