date;Big Bash League;Middlesbrough;Mikaela Shiffrin;Prince Harry;air travel;isPartial
2023-01-01;1;13;0;7;1;False
2023-01-02;1;25;0;14;1;False
2023-01-03;1;15;0;12;1;False
2023-01-04;0;14;0;8;1;False
2023-01-05;1;14;0;50;1;False
2023-01-06;0;15;0;78;1;False
2023-01-07;1;26;0;53;1;False
2023-01-08;0;13;0;100;1;False
2023-01-09;1;13;0;86;1;False
2023-01-10;1;13;0;69;1;False
2023-01-11;0;13;0;52;1;False
2023-01-12;0;14;0;40;1;False
2023-01-13;0;14;0;30;1;False
2023-01-14;0;21;0;30;1;False
2023-01-15;0;13;0;24;1;False
2023-01-16;0;15;0;18;1;False
2023-01-17;1;14;0;17;1;False
2023-01-18;1;13;0;15;1;False
2023-01-19;0;13;0;13;1;False
2023-01-20;1;15;0;13;1;False
2023-01-21;0;17;0;12;1;False
2023-01-22;1;28;0;13;1;False
2023-01-23;0;15;0;9;1;False
2023-01-24;1;14;1;9;1;False
2023-01-25;1;12;0;8;1;False
2023-01-26;0;13;0;7;1;False
2023-01-27;0;14;0;6;1;False
2023-01-28;0;22;0;6;1;False
2023-01-29;0;14;0;7;1;False
2023-01-30;0;15;0;6;2;False
2023-01-31;0;16;0;6;1;False
