date;Juventus;North Carolina;volcano;Sport betting;air travel;isPartial
2023-01-01;10;9;32;1;7;False
2023-01-02;8;7;30;1;8;False
2023-01-03;10;7;25;0;5;False
2023-01-04;45;8;24;0;8;False
2023-01-05;14;5;23;1;7;False
2023-01-06;20;8;25;0;7;False
2023-01-07;40;4;26;1;5;False
2023-01-08;14;6;32;0;8;False
2023-01-09;12;5;26;1;5;False
2023-01-10;9;6;24;0;7;False
2023-01-11;9;5;22;0;8;False
2023-01-12;12;6;30;1;7;False
2023-01-13;91;6;23;0;5;False
2023-01-14;36;6;25;3;5;False
2023-01-15;11;5;31;1;6;False
2023-01-16;9;6;23;0;6;False
2023-01-17;10;6;35;0;5;False
2023-01-18;9;4;23;1;7;False
2023-01-19;47;6;22;1;7;False
2023-01-20;87;5;25;1;5;False
2023-01-21;80;3;26;1;6;False
2023-01-22;100;6;31;1;6;False
2023-01-23;38;6;27;2;7;False
2023-01-24;22;6;30;1;5;False
2023-01-25;15;6;26;1;7;False
2023-01-26;16;6;25;1;6;False
2023-01-27;13;4;27;2;4;False
2023-01-28;16;5;23;0;6;False
2023-01-29;58;3;27;0;5;False
2023-01-30;16;4;25;0;9;False
2023-01-31;13;7;27;1;8;False
