date;Channing Tatum;Charlotte Brontë;sir keir starmer;backstage podcast;air travel;isPartial
2023-01-01;67;8;4;0;51;False
2023-01-02;49;4;0;0;61;False
2023-01-03;25;0;4;0;39;False
2023-01-04;21;0;4;0;59;False
2023-01-05;37;0;0;0;49;False
2023-01-06;76;0;15;0;49;False
2023-01-07;100;0;0;0;36;False
2023-01-08;81;0;6;0;57;False
2023-01-09;39;5;0;0;33;False
2023-01-10;31;0;0;0;53;False
2023-01-11;25;0;6;0;60;False
2023-01-12;25;9;8;0;50;False
2023-01-13;42;0;4;0;40;False
2023-01-14;61;0;0;0;38;False
2023-01-15;51;0;14;0;44;False
2023-01-16;28;0;5;0;46;False
2023-01-17;39;0;5;0;37;False
2023-01-18;85;0;17;0;54;False
2023-01-19;75;0;5;0;49;False
2023-01-20;80;0;8;0;40;False
2023-01-21;73;0;11;0;42;False
2023-01-22;57;3;5;0;47;False
2023-01-23;62;0;8;0;48;False
2023-01-24;58;0;0;0;37;False
2023-01-25;39;0;4;0;50;False
2023-01-26;35;0;0;0;45;False
2023-01-27;65;0;0;0;31;False
2023-01-28;68;3;7;0;44;False
2023-01-29;50;0;6;0;40;False
2023-01-30;61;0;0;0;67;False
2023-01-31;55;0;0;0;56;False
