date;Texas;Evolution;Gary Oldman;Salma Hayek;air travel;isPartial
2023-01-01;68;86;15;8;8;False
2023-01-02;59;100;9;5;10;False
2023-01-03;47;76;6;6;6;False
2023-01-04;51;76;6;4;10;False
2023-01-05;45;67;8;6;8;False
2023-01-06;62;75;7;6;8;False
2023-01-07;59;81;9;7;6;False
2023-01-08;62;80;6;7;9;False
2023-01-09;57;67;5;4;5;False
2023-01-10;55;68;4;6;9;False
2023-01-11;51;65;3;11;10;False
2023-01-12;56;79;6;14;8;False
2023-01-13;51;70;6;10;6;False
2023-01-14;47;71;9;2;6;False
2023-01-15;57;76;8;4;7;False
2023-01-16;49;65;8;3;7;False
2023-01-17;50;69;6;5;6;False
2023-01-18;53;67;4;4;9;False
2023-01-19;46;70;6;3;8;False
2023-01-20;51;62;6;7;6;False
2023-01-21;55;76;8;6;7;False
2023-01-22;56;79;5;9;8;False
2023-01-23;55;64;4;5;8;False
2023-01-24;55;65;4;3;6;False
2023-01-25;54;62;6;6;8;False
2023-01-26;48;56;4;5;7;False
2023-01-27;48;60;5;10;5;False
2023-01-28;55;65;6;10;7;False
2023-01-29;55;72;3;11;7;False
2023-01-30;66;66;3;8;11;False
2023-01-31;56;63;3;7;9;False
