date;Architecture;South Sudan;Search engines;Aberystwyth University;air travel;isPartial
2023-01-01;47;5;7;0;14;False
2023-01-02;55;3;3;1;17;False
2023-01-03;67;4;4;2;11;False
2023-01-04;81;2;5;4;16;False
2023-01-05;90;2;4;5;14;False
2023-01-06;78;31;5;2;14;False
2023-01-07;60;23;5;2;10;False
2023-01-08;66;11;4;5;16;False
2023-01-09;83;5;6;2;9;False
2023-01-10;92;3;3;5;15;False
2023-01-11;88;6;4;2;17;False
2023-01-12;94;3;4;5;14;False
2023-01-13;73;3;4;5;11;False
2023-01-14;55;4;4;0;10;False
2023-01-15;73;6;4;4;12;False
2023-01-16;100;5;4;5;13;False
2023-01-17;98;4;3;4;10;False
2023-01-18;93;4;5;5;15;False
2023-01-19;92;5;3;4;14;False
2023-01-20;79;3;3;3;11;False
2023-01-21;60;3;3;3;12;False
2023-01-22;67;0;5;4;13;False
2023-01-23;96;3;3;5;13;False
2023-01-24;92;3;5;4;10;False
2023-01-25;97;7;4;4;14;False
2023-01-26;98;4;2;5;13;False
2023-01-27;77;5;3;4;9;False
2023-01-28;52;2;2;2;12;False
2023-01-29;61;0;6;5;11;False
2023-01-30;98;4;5;3;19;False
2023-01-31;92;4;5;7;16;False
