date;Maria Miller;David Pocock;Manly Sea Eagles;Nasdaq;air travel;isPartial
2023-01-01;7;0;5;14;24;False
2023-01-02;3;0;0;30;29;False
2023-01-03;0;0;0;60;19;False
2023-01-04;0;3;2;80;28;False
2023-01-05;2;0;2;71;23;False
2023-01-06;0;0;0;76;23;False
2023-01-07;5;0;7;24;17;False
2023-01-08;2;2;2;11;27;False
2023-01-09;0;0;0;79;16;False
2023-01-10;0;0;0;78;25;False
2023-01-11;2;2;0;65;29;False
2023-01-12;0;0;2;100;24;False
2023-01-13;2;0;2;79;19;False
2023-01-14;2;0;0;22;18;False
2023-01-15;0;0;0;14;21;False
2023-01-16;0;0;0;64;22;False
2023-01-17;5;0;0;68;18;False
2023-01-18;0;0;2;70;26;False
2023-01-19;0;0;0;66;23;False
2023-01-20;0;0;2;68;19;False
2023-01-21;0;3;2;23;20;False
2023-01-22;2;0;0;9;22;False
2023-01-23;0;5;0;70;23;False
2023-01-24;0;0;0;89;18;False
2023-01-25;0;0;0;78;24;False
2023-01-26;0;0;0;75;22;False
2023-01-27;0;0;0;77;15;False
2023-01-28;0;0;0;25;21;False
2023-01-29;0;4;0;14;19;False
2023-01-30;0;0;0;81;32;False
2023-01-31;0;0;0;66;27;False
