date;Arcade games;Morecambe;newspapers;Ocado;air travel;isPartial
2023-01-01;5;65;70;58;11;False
2023-01-02;4;49;32;77;13;False
2023-01-03;4;41;28;100;8;False
2023-01-04;7;41;39;99;12;False
2023-01-05;6;42;34;87;10;False
2023-01-06;3;42;27;93;10;False
2023-01-07;6;56;34;80;7;False
2023-01-08;4;46;35;81;12;False
2023-01-09;3;46;31;86;7;False
2023-01-10;4;40;30;86;11;False
2023-01-11;3;38;30;92;12;False
2023-01-12;3;35;31;92;10;False
2023-01-13;6;39;29;83;8;False
2023-01-14;5;42;26;79;8;False
2023-01-15;5;43;27;91;9;False
2023-01-16;2;31;30;94;9;False
2023-01-17;4;45;27;98;8;False
2023-01-18;3;39;33;92;11;False
2023-01-19;4;97;29;94;10;False
2023-01-20;4;56;27;94;8;False
2023-01-21;5;43;32;83;9;False
2023-01-22;5;50;26;93;10;False
2023-01-23;3;46;28;89;10;False
2023-01-24;3;72;30;91;8;False
2023-01-25;6;49;32;90;10;False
2023-01-26;1;34;29;99;9;False
2023-01-27;5;38;29;82;7;False
2023-01-28;7;60;25;78;9;False
2023-01-29;4;42;27;90;8;False
2023-01-30;1;41;26;87;14;False
2023-01-31;5;44;27;84;12;False
