date;Coalition;Amnesty International;Malaria;Carbon footprints;air travel;isPartial
2023-01-01;10;6;44;7;64;False
2023-01-02;18;0;64;0;76;False
2023-01-03;42;16;70;0;49;False
2023-01-04;23;6;79;0;75;False
2023-01-05;36;10;82;0;61;False
2023-01-06;26;7;81;0;62;False
2023-01-07;13;5;42;0;45;False
2023-01-08;16;18;44;8;71;False
2023-01-09;24;16;93;0;42;False
2023-01-10;33;10;88;10;67;False
2023-01-11;35;20;71;0;76;False
2023-01-12;42;0;83;5;63;False
2023-01-13;22;0;85;0;51;False
2023-01-14;25;0;49;16;47;False
2023-01-15;17;0;55;0;56;False
2023-01-16;46;17;80;7;58;False
2023-01-17;38;18;100;0;47;False
2023-01-18;28;12;77;4;68;False
2023-01-19;33;12;81;0;61;False
2023-01-20;28;8;66;0;50;False
2023-01-21;20;13;40;0;53;False
2023-01-22;30;0;56;0;59;False
2023-01-23;25;27;64;0;61;False
2023-01-24;45;8;83;10;46;False
2023-01-25;42;0;87;0;63;False
2023-01-26;26;18;74;0;57;False
2023-01-27;18;11;71;6;40;False
2023-01-28;10;20;26;0;56;False
2023-01-29;13;17;63;0;51;False
2023-01-30;38;13;81;7;84;False
2023-01-31;43;15;77;0;71;False
