date;Activism;Malaysia Airlines flight MH17;migrant crisis;Health, mind and body books;air travel;isPartial
2023-01-01;14;0;0;0;76;False
2023-01-02;7;0;7;0;90;False
2023-01-03;12;5;31;0;59;False
2023-01-04;28;0;0;0;89;False
2023-01-05;15;0;0;0;73;False
2023-01-06;15;0;0;0;73;False
2023-01-07;10;10;0;0;53;False
2023-01-08;20;0;0;0;84;False
2023-01-09;16;0;10;0;50;False
2023-01-10;17;0;5;0;79;False
2023-01-11;14;20;0;0;90;False
2023-01-12;19;7;22;0;75;False
2023-01-13;20;0;0;0;60;False
2023-01-14;12;0;0;0;56;False
2023-01-15;0;0;0;0;66;False
2023-01-16;19;0;0;0;68;False
2023-01-17;12;10;0;0;56;False
2023-01-18;17;0;0;0;80;False
2023-01-19;18;0;0;0;73;False
2023-01-20;12;0;12;0;59;False
2023-01-21;0;0;12;0;63;False
2023-01-22;0;9;13;0;70;False
2023-01-23;17;7;0;0;72;False
2023-01-24;21;6;0;0;55;False
2023-01-25;35;10;0;0;75;False
2023-01-26;13;0;10;0;68;False
2023-01-27;12;0;0;0;47;False
2023-01-28;9;0;0;0;66;False
2023-01-29;8;0;0;0;60;False
2023-01-30;13;0;15;0;100;False
2023-01-31;19;0;0;0;84;False
