date;Apps;Pesticides;Heathrow airport;Autism;air travel;isPartial
2023-01-01;97;1;29;51;5;False
2023-01-02;96;0;27;59;6;False
2023-01-03;99;1;23;63;4;False
2023-01-04;88;1;25;62;6;False
2023-01-05;90;3;27;65;5;False
2023-01-06;84;0;19;61;5;False
2023-01-07;85;1;22;54;3;False
2023-01-08;94;1;23;56;5;False
2023-01-09;80;1;21;63;3;False
2023-01-10;85;1;19;64;5;False
2023-01-11;79;0;24;68;6;False
2023-01-12;85;1;26;65;5;False
2023-01-13;86;1;19;61;4;False
2023-01-14;92;1;18;57;4;False
2023-01-15;93;1;24;64;4;False
2023-01-16;93;1;22;72;4;False
2023-01-17;76;1;20;66;4;False
2023-01-18;83;2;19;65;5;False
2023-01-19;81;0;20;66;5;False
2023-01-20;89;1;19;67;4;False
2023-01-21;100;0;22;66;4;False
2023-01-22;91;0;29;61;5;False
2023-01-23;85;1;28;67;5;False
2023-01-24;87;1;23;68;4;False
2023-01-25;87;1;19;70;5;False
2023-01-26;77;1;21;69;4;False
2023-01-27;79;1;18;60;3;False
2023-01-28;84;1;21;55;4;False
2023-01-29;76;1;22;59;4;False
2023-01-30;85;0;24;68;6;False
2023-01-31;85;1;23;69;5;False
