date;Francesco Molinari;Maternity & paternity rights;norfolk;Union Berlin;air travel;isPartial
2023-01-01;0;0;80;1;6;False
2023-01-02;1;0;90;0;7;False
2023-01-03;0;0;91;1;4;False
2023-01-04;0;0;88;0;7;False
2023-01-05;0;0;82;0;5;False
2023-01-06;0;0;91;0;5;False
2023-01-07;0;0;74;1;4;False
2023-01-08;0;0;88;1;6;False
2023-01-09;0;0;83;1;4;False
2023-01-10;0;0;100;1;6;False
2023-01-11;0;0;88;1;7;False
2023-01-12;0;0;84;0;6;False
2023-01-13;0;0;79;2;4;False
2023-01-14;0;0;81;0;4;False
2023-01-15;1;0;81;1;5;False
2023-01-16;0;0;90;1;5;False
2023-01-17;0;0;79;2;4;False
2023-01-18;0;0;92;1;6;False
2023-01-19;0;0;78;1;5;False
2023-01-20;1;0;84;2;4;False
2023-01-21;1;0;78;8;5;False
2023-01-22;0;0;87;9;5;False
2023-01-23;0;0;85;3;5;False
2023-01-24;0;0;84;2;4;False
2023-01-25;0;0;78;9;6;False
2023-01-26;0;0;78;2;5;False
2023-01-27;0;0;77;2;4;False
2023-01-28;0;0;77;7;5;False
2023-01-29;0;0;87;2;4;False
2023-01-30;0;0;94;3;7;False
2023-01-31;0;0;84;11;6;False
