date;north carolina;Labour party;Weekend breaks;David Jonsson;air travel;isPartial
2023-01-01;37;15;75;0;29;False
2023-01-02;32;9;96;2;35;False
2023-01-03;29;20;78;2;23;False
2023-01-04;34;24;76;0;34;False
2023-01-05;22;35;67;4;28;False
2023-01-06;33;12;64;4;28;False
2023-01-07;16;20;67;0;21;False
2023-01-08;26;29;100;0;33;False
2023-01-09;20;29;74;3;19;False
2023-01-10;27;27;70;0;30;False
2023-01-11;22;28;65;0;35;False
2023-01-12;25;21;80;0;29;False
2023-01-13;27;24;60;0;23;False
2023-01-14;26;19;72;0;22;False
2023-01-15;22;28;86;0;26;False
2023-01-16;25;30;75;10;26;False
2023-01-17;24;29;72;0;21;False
2023-01-18;19;27;47;0;31;False
2023-01-19;25;32;55;2;28;False
2023-01-20;23;21;52;3;23;False
2023-01-21;13;25;80;4;24;False
2023-01-22;24;17;91;0;27;False
2023-01-23;25;30;77;5;28;False
2023-01-24;24;23;75;0;21;False
2023-01-25;27;27;63;0;29;False
2023-01-26;24;28;67;2;26;False
2023-01-27;17;18;62;0;18;False
2023-01-28;23;16;70;0;25;False
2023-01-29;13;29;83;0;23;False
2023-01-30;19;24;71;0;39;False
2023-01-31;29;28;49;0;32;False
