date;Oklahoma;Mortgages;Dance music;cuba;air travel;isPartial
2023-01-01;18;34;23;90;18;False
2023-01-02;17;44;17;68;22;False
2023-01-03;16;92;17;74;14;False
2023-01-04;12;82;19;66;21;False
2023-01-05;37;81;14;85;18;False
2023-01-06;21;82;22;70;18;False
2023-01-07;13;49;16;91;13;False
2023-01-08;16;50;21;100;20;False
2023-01-09;16;92;12;79;12;False
2023-01-10;24;88;14;71;19;False
2023-01-11;20;83;18;71;22;False
2023-01-12;13;77;18;71;18;False
2023-01-13;13;76;17;80;14;False
2023-01-14;12;49;16;79;14;False
2023-01-15;18;56;15;85;16;False
2023-01-16;17;75;17;67;17;False
2023-01-17;14;87;18;73;13;False
2023-01-18;14;85;20;68;19;False
2023-01-19;16;77;15;59;18;False
2023-01-20;13;78;29;74;14;False
2023-01-21;16;43;22;82;15;False
2023-01-22;18;45;19;67;17;False
2023-01-23;14;90;13;68;17;False
2023-01-24;11;94;14;67;13;False
2023-01-25;17;81;19;64;18;False
2023-01-26;11;85;13;58;16;False
2023-01-27;15;83;21;62;11;False
2023-01-28;16;50;22;75;16;False
2023-01-29;13;50;20;88;15;False
2023-01-30;19;92;20;84;24;False
2023-01-31;20;98;18;60;20;False
