date;strep a;billie eilish;Simon Armitage;School sports;air travel;isPartial
2023-01-01;76;22;0;6;7;False
2023-01-02;86;19;6;8;8;False
2023-01-03;100;14;1;8;5;False
2023-01-04;85;16;1;10;8;False
2023-01-05;70;16;1;9;7;False
2023-01-06;72;20;0;7;7;False
2023-01-07;55;16;0;7;5;False
2023-01-08;57;22;2;8;8;False
2023-01-09;61;15;1;8;5;False
2023-01-10;50;16;1;7;7;False
2023-01-11;48;18;2;11;8;False
2023-01-12;50;18;1;9;7;False
2023-01-13;42;19;1;8;6;False
2023-01-14;40;20;0;7;5;False
2023-01-15;38;26;1;8;6;False
2023-01-16;51;17;1;11;6;False
2023-01-17;45;12;1;10;5;False
2023-01-18;43;14;1;9;7;False
2023-01-19;42;15;1;9;7;False
2023-01-20;35;17;1;7;6;False
2023-01-21;35;16;1;6;6;False
2023-01-22;37;16;2;6;7;False
2023-01-23;45;13;2;10;7;False
2023-01-24;41;11;1;7;5;False
2023-01-25;36;17;3;9;7;False
2023-01-26;35;16;1;9;6;False
2023-01-27;33;25;1;8;4;False
2023-01-28;30;21;0;8;6;False
2023-01-29;28;16;0;7;6;False
2023-01-30;35;12;2;8;9;False
2023-01-31;41;11;1;7;8;False
