date;Palestinian territories;Vegan food and drink;Children's health;Prada;air travel;isPartial
2023-01-01;0;0;1;91;14;False
2023-01-02;1;0;0;100;17;False
2023-01-03;0;0;1;83;11;False
2023-01-04;0;0;0;80;16;False
2023-01-05;0;0;5;76;13;False
2023-01-06;0;0;3;70;14;False
2023-01-07;0;0;2;78;10;False
2023-01-08;0;0;1;80;16;False
2023-01-09;0;0;3;62;9;False
2023-01-10;0;0;4;64;15;False
2023-01-11;0;0;2;65;17;False
2023-01-12;0;0;5;76;14;False
2023-01-13;0;0;1;70;11;False
2023-01-14;0;0;2;75;10;False
2023-01-15;0;0;2;94;12;False
2023-01-16;0;0;3;67;13;False
2023-01-17;0;0;4;59;10;False
2023-01-18;0;0;5;55;15;False
2023-01-19;0;0;4;64;13;False
2023-01-20;2;0;5;66;11;False
2023-01-21;0;0;1;69;12;False
2023-01-22;0;0;1;75;13;False
2023-01-23;0;0;2;74;13;False
2023-01-24;0;0;5;67;10;False
2023-01-25;0;0;5;71;14;False
2023-01-26;0;0;2;67;12;False
2023-01-27;0;0;3;73;9;False
2023-01-28;0;0;1;77;12;False
2023-01-29;0;0;1;77;11;False
2023-01-30;0;0;8;73;18;False
2023-01-31;1;0;6;72;15;False
