date;Amanda Abbington;northamptonshire;baftas;Tiffany Haddish;air travel;isPartial
2023-01-01;6;64;0;0;31;False
2023-01-02;3;49;2;3;36;False
2023-01-03;5;72;4;6;24;False
2023-01-04;0;69;4;3;36;False
2023-01-05;2;76;2;4;29;False
2023-01-06;0;62;5;3;30;False
2023-01-07;0;56;2;8;21;False
2023-01-08;0;57;15;5;34;False
2023-01-09;0;68;2;0;20;False
2023-01-10;0;82;3;3;32;False
2023-01-11;5;78;6;0;36;False
2023-01-12;13;71;9;3;30;False
2023-01-13;0;74;2;2;24;False
2023-01-14;0;57;5;4;23;False
2023-01-15;2;57;9;7;27;False
2023-01-16;11;76;13;5;28;False
2023-01-17;100;60;9;2;22;False
2023-01-18;12;65;2;3;32;False
2023-01-19;6;71;43;2;29;False
2023-01-20;5;65;19;6;24;False
2023-01-21;11;61;13;0;25;False
2023-01-22;17;61;6;7;28;False
2023-01-23;8;68;8;8;29;False
2023-01-24;7;67;18;7;22;False
2023-01-25;4;77;10;8;30;False
2023-01-26;2;66;6;2;27;False
2023-01-27;14;74;8;0;19;False
2023-01-28;13;49;10;7;27;False
2023-01-29;3;61;12;3;24;False
2023-01-30;7;62;9;0;40;False
2023-01-31;5;83;6;3;34;False
