date;Jennifer Aniston;US Congress;Data and computer security;Native Americans;air travel;isPartial
2023-01-01;100;0;0;7;23;False
2023-01-02;72;3;6;5;28;False
2023-01-03;51;7;2;8;18;False
2023-01-04;39;1;0;6;27;False
2023-01-05;31;7;0;5;22;False
2023-01-06;35;8;0;5;22;False
2023-01-07;48;11;2;4;16;False
2023-01-08;44;5;0;4;26;False
2023-01-09;28;5;3;3;15;False
2023-01-10;24;3;4;3;24;False
2023-01-11;26;3;0;5;27;False
2023-01-12;37;2;2;6;23;False
2023-01-13;28;2;0;3;18;False
2023-01-14;42;0;0;5;17;False
2023-01-15;54;1;0;7;20;False
2023-01-16;31;0;0;8;21;False
2023-01-17;38;3;0;5;17;False
2023-01-18;22;4;0;5;24;False
2023-01-19;39;4;0;2;22;False
2023-01-20;35;0;0;7;18;False
2023-01-21;51;2;0;4;19;False
2023-01-22;45;0;0;7;21;False
2023-01-23;28;2;0;4;22;False
2023-01-24;33;0;0;5;17;False
2023-01-25;28;4;0;0;23;False
2023-01-26;30;3;0;3;21;False
2023-01-27;29;0;0;6;14;False
2023-01-28;47;2;0;7;20;False
2023-01-29;45;3;0;4;18;False
2023-01-30;49;4;0;6;30;False
2023-01-31;47;13;2;5;26;False
