date;Patricia Highsmith;Wayne McGregor;Communities;Americana;air travel;isPartial
2023-01-01;6;15;35;10;60;False
2023-01-02;0;7;31;31;71;False
2023-01-03;9;4;60;18;46;False
2023-01-04;4;0;57;17;70;False
2023-01-05;4;0;83;8;57;False
2023-01-06;5;0;68;25;58;False
2023-01-07;0;0;34;21;42;False
2023-01-08;4;0;52;27;66;False
2023-01-09;6;0;65;20;39;False
2023-01-10;0;21;85;7;62;False
2023-01-11;4;0;92;15;70;False
2023-01-12;0;0;75;15;58;False
2023-01-13;0;0;60;10;47;False
2023-01-14;0;0;36;9;44;False
2023-01-15;0;4;45;29;52;False
2023-01-16;4;0;59;15;54;False
2023-01-17;12;0;81;23;44;False
2023-01-18;0;0;82;13;63;False
2023-01-19;6;6;89;12;57;False
2023-01-20;0;0;76;16;46;False
2023-01-21;6;0;36;16;49;False
2023-01-22;0;0;53;10;55;False
2023-01-23;0;16;81;15;56;False
2023-01-24;7;4;82;15;43;False
2023-01-25;0;12;88;25;59;False
2023-01-26;0;13;100;10;53;False
2023-01-27;0;0;58;36;37;False
2023-01-28;0;0;47;35;52;False
2023-01-29;0;0;35;15;47;False
2023-01-30;0;0;86;20;78;False
2023-01-31;0;0;78;25;66;False
