date;Six Nations 2022;Nicaragua;Health policy;Local politics;air travel;isPartial
2023-01-01;7;27;19;0;76;False
2023-01-02;10;29;47;0;90;False
2023-01-03;8;26;45;0;59;False
2023-01-04;0;26;51;0;89;False
2023-01-05;17;33;51;7;73;False
2023-01-06;5;20;42;7;73;False
2023-01-07;14;33;23;0;53;False
2023-01-08;9;36;47;6;84;False
2023-01-09;5;28;74;0;50;False
2023-01-10;0;35;51;0;79;False
2023-01-11;19;42;38;21;90;False
2023-01-12;8;35;51;8;75;False
2023-01-13;21;31;38;0;60;False
2023-01-14;13;35;31;0;56;False
2023-01-15;0;41;43;0;66;False
2023-01-16;7;57;53;0;68;False
2023-01-17;25;35;62;0;56;False
2023-01-18;11;38;50;0;80;False
2023-01-19;10;25;60;0;73;False
2023-01-20;30;34;38;0;59;False
2023-01-21;0;19;48;0;63;False
2023-01-22;17;20;38;0;70;False
2023-01-23;0;41;53;0;72;False
2023-01-24;17;87;48;0;55;False
2023-01-25;20;34;67;0;75;False
2023-01-26;15;34;72;5;68;False
2023-01-27;5;24;45;0;47;False
2023-01-28;32;50;43;0;66;False
2023-01-29;13;30;26;12;60;False
2023-01-30;18;35;34;0;100;False
2023-01-31;24;29;52;7;84;False
