date;IBM;Carbon offsetting;Breakfast TV;Interiors;air travel;isPartial
2023-01-01;11;0;4;44;22;False
2023-01-02;12;0;0;67;26;False
2023-01-03;27;4;4;84;17;False
2023-01-04;34;2;5;84;25;False
2023-01-05;33;3;0;70;21;False
2023-01-06;29;0;4;70;21;False
2023-01-07;14;2;7;63;15;False
2023-01-08;13;0;10;63;24;False
2023-01-09;36;7;2;88;14;False
2023-01-10;42;3;4;92;22;False
2023-01-11;37;0;4;69;25;False
2023-01-12;38;0;4;90;21;False
2023-01-13;31;0;2;68;17;False
2023-01-14;16;1;8;60;16;False
2023-01-15;13;0;5;55;19;False
2023-01-16;39;0;5;86;19;False
2023-01-17;40;3;26;67;16;False
2023-01-18;43;2;5;78;23;False
2023-01-19;43;4;4;71;21;False
2023-01-20;35;2;4;77;17;False
2023-01-21;18;0;3;76;18;False
2023-01-22;18;0;5;66;20;False
2023-01-23;35;4;5;100;20;False
2023-01-24;37;0;6;92;16;False
2023-01-25;50;0;10;79;21;False
2023-01-26;55;4;3;74;19;False
2023-01-27;38;2;6;66;13;False
2023-01-28;19;0;5;64;19;False
2023-01-29;15;0;7;50;17;False
2023-01-30;41;3;5;89;28;False
2023-01-31;31;0;4;81;24;False
