date;noel gallagher;Nitrous oxide (laughing gas);Mime;Buy now, pay later;air travel;isPartial
2023-01-01;8;1;6;0;11;False
2023-01-02;7;0;3;0;13;False
2023-01-03;5;2;5;0;8;False
2023-01-04;5;1;4;1;12;False
2023-01-05;7;1;4;0;10;False
2023-01-06;8;0;4;0;10;False
2023-01-07;9;0;4;0;7;False
2023-01-08;8;0;4;2;12;False
2023-01-09;6;0;6;0;7;False
2023-01-10;4;0;4;0;11;False
2023-01-11;4;0;6;0;12;False
2023-01-12;8;0;6;1;10;False
2023-01-13;18;0;7;1;8;False
2023-01-14;100;2;4;0;8;False
2023-01-15;38;0;4;0;9;False
2023-01-16;19;0;3;2;10;False
2023-01-17;48;0;4;0;8;False
2023-01-18;38;0;5;0;11;False
2023-01-19;30;0;6;0;10;False
2023-01-20;26;0;6;0;8;False
2023-01-21;21;0;6;0;9;False
2023-01-22;37;0;3;1;10;False
2023-01-23;25;0;7;0;10;False
2023-01-24;21;0;3;0;8;False
2023-01-25;19;0;6;1;10;False
2023-01-26;14;3;4;0;9;False
2023-01-27;12;7;4;0;7;False
2023-01-28;14;0;4;0;9;False
2023-01-29;13;0;5;0;8;False
2023-01-30;9;0;4;0;14;False
2023-01-31;10;0;4;0;12;False
