date;Mining;Crosswords;Darren Hayes;Greta Thunberg;air travel;isPartial
2023-01-01;24;12;1;76;9;False
2023-01-02;28;8;0;54;11;False
2023-01-03;36;8;0;30;7;False
2023-01-04;35;10;0;27;11;False
2023-01-05;32;7;1;21;9;False
2023-01-06;38;6;1;17;9;False
2023-01-07;27;6;1;23;7;False
2023-01-08;32;7;0;11;10;False
2023-01-09;36;7;0;16;6;False
2023-01-10;34;10;0;16;10;False
2023-01-11;31;7;1;12;11;False
2023-01-12;42;5;0;14;9;False
2023-01-13;40;10;0;13;7;False
2023-01-14;24;4;0;17;7;False
2023-01-15;29;9;1;15;8;False
2023-01-16;36;8;2;16;8;False
2023-01-17;36;9;1;90;7;False
2023-01-18;35;8;0;100;10;False
2023-01-19;32;9;0;85;9;False
2023-01-20;29;7;0;55;7;False
2023-01-21;30;8;1;30;8;False
2023-01-22;25;7;1;21;9;False
2023-01-23;34;8;0;16;9;False
2023-01-24;36;7;0;17;7;False
2023-01-25;39;10;0;13;9;False
2023-01-26;34;5;1;15;8;False
2023-01-27;32;4;2;15;6;False
2023-01-28;24;6;1;14;8;False
2023-01-29;28;7;0;12;7;False
2023-01-30;40;7;1;12;12;False
2023-01-31;36;9;0;12;10;False
