date;Eddie Murphy;Food TV;TikTok;Succession;air travel;isPartial
2023-01-01;3;2;98;8;3;False
2023-01-02;1;2;97;8;3;False
2023-01-03;1;2;92;9;2;False
2023-01-04;1;1;88;6;3;False
2023-01-05;2;1;86;7;3;False
2023-01-06;2;0;89;5;3;False
2023-01-07;5;2;90;6;2;False
2023-01-08;3;2;95;7;3;False
2023-01-09;2;1;87;6;2;False
2023-01-10;2;1;86;6;3;False
2023-01-11;12;1;86;6;3;False
2023-01-12;6;1;88;6;3;False
2023-01-13;4;1;85;5;2;False
2023-01-14;4;2;91;5;2;False
2023-01-15;6;2;92;8;3;False
2023-01-16;2;1;85;6;3;False
2023-01-17;2;2;80;6;2;False
2023-01-18;2;2;82;5;3;False
2023-01-19;2;1;84;6;3;False
2023-01-20;2;2;88;5;2;False
2023-01-21;4;2;96;6;2;False
2023-01-22;3;1;92;7;3;False
2023-01-23;2;1;82;7;3;False
2023-01-24;2;2;88;6;2;False
2023-01-25;2;1;85;5;3;False
2023-01-26;2;1;81;9;3;False
2023-01-27;7;1;87;9;2;False
2023-01-28;10;2;94;7;3;False
2023-01-29;12;2;100;7;2;False
2023-01-30;6;1;84;10;4;False
2023-01-31;5;1;85;7;3;False
