date;Everton;Elizabeth Holmes;Luxury goods sector;US-Mexico border;air travel;isPartial
2023-01-01;13;0;0;0;1;False
2023-01-02;12;0;0;0;1;False
2023-01-03;50;0;0;0;1;False
2023-01-04;24;1;0;0;1;False
2023-01-05;17;0;0;0;1;False
2023-01-06;100;0;0;0;1;False
2023-01-07;23;0;0;0;1;False
2023-01-08;14;1;0;0;1;False
2023-01-09;13;0;0;0;1;False
2023-01-10;10;0;0;0;1;False
2023-01-11;11;0;0;0;1;False
2023-01-12;11;0;0;0;1;False
2023-01-13;11;0;0;0;1;False
2023-01-14;48;0;0;0;1;False
2023-01-15;21;0;0;0;1;False
2023-01-16;17;0;0;0;1;False
2023-01-17;13;0;0;0;1;False
2023-01-18;13;0;0;0;1;False
2023-01-19;13;0;0;0;1;False
2023-01-20;16;0;0;0;1;False
2023-01-21;56;4;0;0;1;False
2023-01-22;23;1;0;0;1;False
2023-01-23;50;0;0;0;1;False
2023-01-24;32;0;0;0;1;False
2023-01-25;25;0;0;0;1;False
2023-01-26;22;0;0;0;1;False
2023-01-27;29;0;0;0;0;False
2023-01-28;25;0;0;0;1;False
2023-01-29;27;0;0;0;1;False
2023-01-30;26;0;0;0;1;False
2023-01-31;34;0;0;0;1;False
