date;Matthew Macfadyen;Australian media;shakira;Mabel;air travel;isPartial
2023-01-01;3;0;13;5;7;False
2023-01-02;17;0;8;5;8;False
2023-01-03;16;1;8;7;5;False
2023-01-04;15;0;7;4;8;False
2023-01-05;8;1;7;4;6;False
2023-01-06;8;0;11;4;7;False
2023-01-07;12;0;9;5;5;False
2023-01-08;8;0;7;4;8;False
2023-01-09;3;1;6;5;4;False
2023-01-10;3;0;9;5;7;False
2023-01-11;3;1;11;5;8;False
2023-01-12;1;0;62;6;7;False
2023-01-13;2;0;99;6;5;False
2023-01-14;3;0;100;6;5;False
2023-01-15;2;1;89;6;6;False
2023-01-16;2;0;71;3;6;False
2023-01-17;1;0;51;5;5;False
2023-01-18;2;1;55;4;7;False
2023-01-19;1;0;69;5;6;False
2023-01-20;2;0;60;3;5;False
2023-01-21;2;1;47;4;6;False
2023-01-22;3;0;36;4;6;False
2023-01-23;1;0;25;0;6;False
2023-01-24;1;0;27;3;5;False
2023-01-25;0;1;20;4;7;False
2023-01-26;0;0;33;4;6;False
2023-01-27;2;0;26;3;4;False
2023-01-28;1;0;26;5;6;False
2023-01-29;2;0;24;3;5;False
2023-01-30;1;0;18;2;9;False
2023-01-31;1;0;18;4;7;False
