date;Peter Malinauskas;Sheila Atim;Public sector careers;Women's World Cup 2023;air travel;isPartial
2023-01-01;0;0;0;11;76;False
2023-01-02;0;0;0;10;90;False
2023-01-03;0;0;0;5;59;False
2023-01-04;0;0;0;0;89;False
2023-01-05;0;0;0;10;73;False
2023-01-06;0;7;12;5;73;False
2023-01-07;0;0;0;0;53;False
2023-01-08;0;0;5;0;84;False
2023-01-09;0;8;5;8;50;False
2023-01-10;0;0;6;7;79;False
2023-01-11;0;0;0;10;90;False
2023-01-12;5;6;0;0;75;False
2023-01-13;0;0;0;0;60;False
2023-01-14;0;0;0;9;56;False
2023-01-15;0;0;0;0;66;False
2023-01-16;0;5;0;6;68;False
2023-01-17;0;11;5;13;56;False
2023-01-18;0;5;0;0;80;False
2023-01-19;0;0;0;16;73;False
2023-01-20;0;21;0;0;59;False
2023-01-21;7;12;12;0;63;False
2023-01-22;0;0;10;8;70;False
2023-01-23;0;0;0;9;72;False
2023-01-24;0;0;0;0;55;False
2023-01-25;0;0;6;8;75;False
2023-01-26;0;0;0;6;68;False
2023-01-27;0;5;0;0;47;False
2023-01-28;0;0;0;0;66;False
2023-01-29;0;0;17;10;60;False
2023-01-30;16;0;11;16;100;False
2023-01-31;0;8;0;0;84;False
