date;aberdeen;International trade;Reptiles;Bushfires;air travel;isPartial
2023-01-01;27;0;0;0;1;False
2023-01-02;34;0;1;0;1;False
2023-01-03;28;0;1;0;1;False
2023-01-04;30;0;1;0;1;False
2023-01-05;29;0;1;0;1;False
2023-01-06;29;0;1;0;1;False
2023-01-07;30;0;1;0;1;False
2023-01-08;27;0;1;0;1;False
2023-01-09;28;0;1;0;1;False
2023-01-10;28;0;1;0;1;False
2023-01-11;29;0;1;0;1;False
2023-01-12;30;0;1;0;1;False
2023-01-13;28;0;1;0;1;False
2023-01-14;31;0;1;0;1;False
2023-01-15;100;0;1;0;1;False
2023-01-16;33;0;1;0;1;False
2023-01-17;32;0;1;0;1;False
2023-01-18;38;0;1;0;1;False
2023-01-19;33;0;1;0;1;False
2023-01-20;31;0;1;0;1;False
2023-01-21;32;0;1;0;1;False
2023-01-22;30;0;1;0;1;False
2023-01-23;62;1;1;0;1;False
2023-01-24;47;1;1;0;1;False
2023-01-25;36;0;1;0;1;False
2023-01-26;30;0;1;0;1;False
2023-01-27;30;0;1;0;1;False
2023-01-28;46;0;1;0;1;False
2023-01-29;35;0;1;0;1;False
2023-01-30;32;1;1;0;1;False
2023-01-31;33;0;1;0;1;False
