date;Education;RT;University of Cambridge;Mar-a-Lago;air travel;isPartial
2023-01-01;42;4;1;0;3;False
2023-01-02;52;5;3;0;4;False
2023-01-03;76;4;3;0;3;False
2023-01-04;79;5;2;0;4;False
2023-01-05;77;4;3;0;3;False
2023-01-06;75;4;2;0;3;False
2023-01-07;48;3;2;0;2;False
2023-01-08;60;4;1;0;4;False
2023-01-09;86;4;2;0;2;False
2023-01-10;91;5;3;0;3;False
2023-01-11;87;5;3;0;4;False
2023-01-12;90;5;2;0;3;False
2023-01-13;71;5;2;0;3;False
2023-01-14;54;5;1;0;2;False
2023-01-15;66;4;2;0;3;False
2023-01-16;91;4;3;0;3;False
2023-01-17;95;5;2;0;2;False
2023-01-18;93;5;3;0;4;False
2023-01-19;84;4;3;0;3;False
2023-01-20;82;5;2;0;3;False
2023-01-21;54;4;1;0;3;False
2023-01-22;63;5;2;0;3;False
2023-01-23;90;6;3;0;3;False
2023-01-24;100;5;3;0;2;False
2023-01-25;88;5;4;0;3;False
2023-01-26;78;5;3;0;3;False
2023-01-27;77;4;2;0;2;False
2023-01-28;47;6;1;0;3;False
2023-01-29;62;4;3;0;3;False
2023-01-30;89;5;3;0;4;False
2023-01-31;83;5;3;0;4;False
