date;General election 2019;Channel 5;Olympic Games;Americas;air travel;isPartial
2023-01-01;0;53;2;14;8;False
2023-01-02;2;32;4;14;9;False
2023-01-03;1;32;2;17;6;False
2023-01-04;1;32;2;16;9;False
2023-01-05;1;28;2;15;8;False
2023-01-06;1;30;4;14;8;False
2023-01-07;1;30;1;13;6;False
2023-01-08;1;32;1;15;9;False
2023-01-09;0;33;3;18;5;False
2023-01-10;0;34;0;17;8;False
2023-01-11;1;36;2;17;9;False
2023-01-12;1;25;4;17;8;False
2023-01-13;0;34;3;18;6;False
2023-01-14;1;39;2;12;6;False
2023-01-15;1;36;3;16;7;False
2023-01-16;1;28;3;15;7;False
2023-01-17;1;33;2;14;6;False
2023-01-18;0;29;2;15;8;False
2023-01-19;1;27;3;17;8;False
2023-01-20;0;28;3;15;6;False
2023-01-21;1;35;3;17;7;False
2023-01-22;0;38;2;15;7;False
2023-01-23;0;35;2;18;7;False
2023-01-24;0;36;2;14;6;False
2023-01-25;0;100;2;17;8;False
2023-01-26;0;69;2;15;7;False
2023-01-27;1;53;2;14;5;False
2023-01-28;0;45;4;14;7;False
2023-01-29;1;45;3;15;6;False
2023-01-30;1;39;3;13;10;False
2023-01-31;1;44;3;13;9;False
