date;Menstruation;Robert Mugabe;Cyprus;Indie;air travel;isPartial
2023-01-01;2;1;65;12;6;False
2023-01-02;1;0;75;8;7;False
2023-01-03;0;1;66;8;5;False
2023-01-04;2;0;66;7;7;False
2023-01-05;2;0;64;7;6;False
2023-01-06;2;0;59;10;6;False
2023-01-07;3;1;70;11;4;False
2023-01-08;2;1;82;11;7;False
2023-01-09;2;0;77;9;4;False
2023-01-10;2;1;64;8;6;False
2023-01-11;2;0;69;8;7;False
2023-01-12;1;0;76;10;6;False
2023-01-13;1;0;63;10;5;False
2023-01-14;1;0;73;9;4;False
2023-01-15;1;1;83;11;5;False
2023-01-16;2;0;68;10;5;False
2023-01-17;2;0;63;10;4;False
2023-01-18;2;0;60;8;6;False
2023-01-19;2;1;66;9;6;False
2023-01-20;3;1;100;9;5;False
2023-01-21;1;0;84;10;5;False
2023-01-22;2;0;83;10;6;False
2023-01-23;2;0;71;9;6;False
2023-01-24;2;1;68;10;4;False
2023-01-25;1;1;63;9;6;False
2023-01-26;1;0;57;13;5;False
2023-01-27;2;0;58;8;4;False
2023-01-28;2;1;64;9;5;False
2023-01-29;2;0;73;9;5;False
2023-01-30;2;1;67;9;8;False
2023-01-31;1;1;57;8;7;False
