date;Michelin Guide;Judi Dench;Vaccines and immunisation;Coal;air travel;isPartial
2023-01-01;3;66;0;73;15;False
2023-01-02;6;55;0;75;18;False
2023-01-03;3;17;0;87;11;False
2023-01-04;7;13;0;72;17;False
2023-01-05;4;12;2;70;14;False
2023-01-06;3;14;0;78;14;False
2023-01-07;4;22;1;74;10;False
2023-01-08;0;14;0;73;16;False
2023-01-09;4;12;2;76;10;False
2023-01-10;9;14;0;81;15;False
2023-01-11;5;10;0;77;17;False
2023-01-12;4;13;0;81;15;False
2023-01-13;3;12;0;76;12;False
2023-01-14;3;16;0;76;11;False
2023-01-15;6;12;0;80;13;False
2023-01-16;5;6;0;91;13;False
2023-01-17;3;7;0;98;11;False
2023-01-18;0;10;1;91;16;False
2023-01-19;3;7;2;97;14;False
2023-01-20;3;10;0;84;12;False
2023-01-21;2;8;0;100;12;False
2023-01-22;3;11;0;98;14;False
2023-01-23;5;5;1;93;14;False
2023-01-24;3;6;0;88;11;False
2023-01-25;5;21;0;86;15;False
2023-01-26;7;9;0;78;13;False
2023-01-27;5;8;0;80;9;False
2023-01-28;9;10;0;81;13;False
2023-01-29;6;23;0;90;12;False
2023-01-30;4;8;0;78;19;False
2023-01-31;3;12;0;74;16;False
