date;British army;Psychiatry;Sexual harassment;Jess Phillips;air travel;isPartial
2023-01-01;70;13;16;4;31;False
2023-01-02;56;22;0;0;36;False
2023-01-03;72;32;9;6;23;False
2023-01-04;64;28;5;6;35;False
2023-01-05;67;22;8;0;29;False
2023-01-06;71;21;5;3;29;False
2023-01-07;58;13;7;2;21;False
2023-01-08;75;20;5;6;34;False
2023-01-09;70;35;4;9;20;False
2023-01-10;68;45;9;0;32;False
2023-01-11;70;28;11;0;36;False
2023-01-12;63;37;6;0;30;False
2023-01-13;67;28;8;4;24;False
2023-01-14;56;7;5;10;22;False
2023-01-15;71;16;9;6;26;False
2023-01-16;78;28;18;0;27;False
2023-01-17;69;49;10;9;22;False
2023-01-18;76;37;3;0;32;False
2023-01-19;60;32;8;5;29;False
2023-01-20;67;32;0;0;24;False
2023-01-21;59;17;7;0;25;False
2023-01-22;70;18;3;2;28;False
2023-01-23;77;21;7;7;29;False
2023-01-24;78;33;14;8;22;False
2023-01-25;63;22;7;11;30;False
2023-01-26;65;38;11;5;27;False
2023-01-27;48;26;14;6;19;False
2023-01-28;54;18;3;3;26;False
2023-01-29;65;18;0;0;24;False
2023-01-30;88;33;6;7;40;False
2023-01-31;100;39;2;0;34;False
