date;Plymouth;Luiz Inácio Lula da Silva;Bristol City Women;liverpool;air travel;isPartial
2023-01-01;10;0;0;38;0;False
2023-01-02;8;0;0;100;0;False
2023-01-03;8;0;0;42;0;False
2023-01-04;8;0;0;34;0;False
2023-01-05;8;0;0;45;0;False
2023-01-06;8;0;0;36;0;False
2023-01-07;9;0;0;98;0;False
2023-01-08;8;0;0;45;0;False
2023-01-09;8;0;0;34;0;False
2023-01-10;9;0;0;35;0;False
2023-01-11;8;0;0;34;0;False
2023-01-12;8;0;0;39;0;False
2023-01-13;8;0;0;36;0;False
2023-01-14;10;0;0;79;0;False
2023-01-15;7;0;0;40;0;False
2023-01-16;8;0;0;38;0;False
2023-01-17;8;0;0;94;0;False
2023-01-18;8;0;0;41;0;False
2023-01-19;7;0;0;37;0;False
2023-01-20;8;0;0;37;0;False
2023-01-21;10;0;0;95;0;False
2023-01-22;8;0;0;38;0;False
2023-01-23;8;0;0;36;0;False
2023-01-24;8;0;0;35;0;False
2023-01-25;7;0;0;35;0;False
2023-01-26;7;0;0;34;0;False
2023-01-27;7;0;0;34;0;False
2023-01-28;8;0;0;38;0;False
2023-01-29;7;0;0;86;0;False
2023-01-30;8;0;0;37;0;False
2023-01-31;9;0;0;40;0;False
