date;alaska;Money;Alphabet;Aaron Rodgers;air travel;isPartial
2023-01-01;4;79;8;0;1;False
2023-01-02;4;92;8;1;1;False
2023-01-03;4;92;8;0;1;False
2023-01-04;3;88;8;0;1;False
2023-01-05;3;100;9;0;1;False
2023-01-06;3;97;9;0;1;False
2023-01-07;3;83;8;0;1;False
2023-01-08;4;90;7;0;1;False
2023-01-09;3;91;9;1;1;False
2023-01-10;3;92;9;1;1;False
2023-01-11;4;90;10;0;1;False
2023-01-12;3;89;10;0;1;False
2023-01-13;3;89;9;0;1;False
2023-01-14;3;84;8;0;1;False
2023-01-15;2;94;7;0;1;False
2023-01-16;2;100;9;0;1;False
2023-01-17;2;90;9;0;1;False
2023-01-18;5;89;9;0;1;False
2023-01-19;3;92;9;0;1;False
2023-01-20;3;89;10;0;1;False
2023-01-21;3;87;8;0;1;False
2023-01-22;3;95;9;0;1;False
2023-01-23;4;97;9;0;1;False
2023-01-24;3;98;10;1;1;False
2023-01-25;2;88;10;0;1;False
2023-01-26;3;86;9;0;1;False
2023-01-27;2;89;8;0;1;False
2023-01-28;2;82;7;0;1;False
2023-01-29;3;88;7;0;1;False
2023-01-30;3;99;8;0;2;False
2023-01-31;2;99;9;0;1;False
