date;Nebraska;Estonia;benjamin netanyahu;Organised crime;air travel;isPartial
2023-01-01;13;33;0;6;38;False
2023-01-02;21;46;3;10;45;False
2023-01-03;17;53;4;0;29;False
2023-01-04;4;43;4;8;44;False
2023-01-05;16;52;5;8;37;False
2023-01-06;18;70;3;0;37;False
2023-01-07;22;35;0;12;27;False
2023-01-08;20;34;0;8;42;False
2023-01-09;4;40;0;5;25;False
2023-01-10;19;65;4;4;40;False
2023-01-11;7;80;0;8;45;False
2023-01-12;17;59;0;6;37;False
2023-01-13;12;38;4;0;30;False
2023-01-14;17;39;5;3;28;False
2023-01-15;13;35;0;6;33;False
2023-01-16;12;40;0;8;34;False
2023-01-17;17;40;0;4;28;False
2023-01-18;6;35;0;4;40;False
2023-01-19;21;47;11;6;37;False
2023-01-20;10;36;7;3;30;False
2023-01-21;20;35;6;4;32;False
2023-01-22;17;38;0;3;35;False
2023-01-23;8;60;7;27;36;False
2023-01-24;22;50;0;16;28;False
2023-01-25;13;35;0;7;38;False
2023-01-26;10;100;6;0;34;False
2023-01-27;19;33;5;0;24;False
2023-01-28;16;24;9;6;33;False
2023-01-29;9;32;5;12;30;False
2023-01-30;12;43;5;12;50;False
2023-01-31;11;28;3;7;42;False
