date;Homes;Ryder Cup;Drugs in sport;Firefighters;air travel;isPartial
2023-01-01;74;2;0;1;3;False
2023-01-02;85;3;0;1;3;False
2023-01-03;85;2;0;1;2;False
2023-01-04;92;1;0;1;3;False
2023-01-05;87;1;0;1;3;False
2023-01-06;90;1;0;1;3;False
2023-01-07;81;1;0;1;2;False
2023-01-08;83;1;0;1;3;False
2023-01-09;93;1;0;1;2;False
2023-01-10;91;1;0;1;3;False
2023-01-11;95;1;0;1;3;False
2023-01-12;100;1;0;1;3;False
2023-01-13;89;1;0;11;2;False
2023-01-14;80;1;0;10;2;False
2023-01-15;82;2;0;6;2;False
2023-01-16;99;1;0;1;2;False
2023-01-17;88;2;0;1;2;False
2023-01-18;96;2;0;1;3;False
2023-01-19;87;0;0;1;3;False
2023-01-20;91;1;0;1;2;False
2023-01-21;84;1;0;1;2;False
2023-01-22;83;1;0;1;2;False
2023-01-23;96;1;0;1;3;False
2023-01-24;92;1;0;1;2;False
2023-01-25;94;1;0;1;3;False
2023-01-26;89;1;0;1;2;False
2023-01-27;92;1;0;1;2;False
2023-01-28;80;0;0;2;2;False
2023-01-29;83;1;0;1;2;False
2023-01-30;92;2;0;7;4;False
2023-01-31;95;3;0;3;3;False
