date;James Cleverly;Frank Field;Beer;Top 10s;air travel;isPartial
2023-01-01;0;0;90;1;5;False
2023-01-02;1;0;76;0;5;False
2023-01-03;0;0;67;0;4;False
2023-01-04;1;0;83;0;5;False
2023-01-05;1;0;74;0;4;False
2023-01-06;0;0;87;0;4;False
2023-01-07;1;0;94;0;3;False
2023-01-08;1;0;83;0;5;False
2023-01-09;1;0;72;0;3;False
2023-01-10;0;0;76;1;5;False
2023-01-11;2;0;76;0;5;False
2023-01-12;0;0;77;0;5;False
2023-01-13;2;0;91;0;4;False
2023-01-14;2;1;100;0;3;False
2023-01-15;0;1;79;0;4;False
2023-01-16;1;0;74;0;4;False
2023-01-17;1;0;73;1;3;False
2023-01-18;1;1;77;0;5;False
2023-01-19;0;0;79;0;4;False
2023-01-20;0;0;94;0;4;False
2023-01-21;2;0;99;0;4;False
2023-01-22;5;1;85;1;4;False
2023-01-23;1;1;75;0;4;False
2023-01-24;0;0;76;0;3;False
2023-01-25;0;0;77;0;5;False
2023-01-26;0;0;84;0;4;False
2023-01-27;0;0;98;0;3;False
2023-01-28;0;0;96;0;4;False
2023-01-29;0;1;87;0;4;False
2023-01-30;1;1;69;0;6;False
2023-01-31;0;0;76;0;5;False
