date;Julia Garner;Indonesia;Film;Public transport trips;air travel;isPartial
2023-01-01;0;2;100;0;1;False
2023-01-02;0;2;76;0;1;False
2023-01-03;0;2;53;0;0;False
2023-01-04;0;2;54;0;1;False
2023-01-05;0;2;51;0;1;False
2023-01-06;0;2;56;0;1;False
2023-01-07;0;2;78;0;0;False
2023-01-08;0;2;69;0;1;False
2023-01-09;0;2;48;0;0;False
2023-01-10;0;2;55;0;1;False
2023-01-11;1;2;48;0;1;False
2023-01-12;0;2;49;0;1;False
2023-01-13;0;2;58;0;0;False
2023-01-14;0;2;67;0;0;False
2023-01-15;0;2;66;0;1;False
2023-01-16;0;2;53;0;1;False
2023-01-17;0;2;45;0;0;False
2023-01-18;0;2;50;0;1;False
2023-01-19;0;2;49;0;1;False
2023-01-20;0;2;60;0;0;False
2023-01-21;0;1;81;0;1;False
2023-01-22;0;2;64;0;1;False
2023-01-23;0;2;49;0;1;False
2023-01-24;0;2;50;0;0;False
2023-01-25;0;2;49;0;1;False
2023-01-26;0;2;48;0;1;False
2023-01-27;0;2;55;0;0;False
2023-01-28;0;1;79;0;1;False
2023-01-29;0;2;68;0;0;False
2023-01-30;0;2;47;0;1;False
2023-01-31;0;2;48;0;1;False
