date;Plácido Domingo;Nazism;Inter Miami;Minimum wage;air travel;isPartial
2023-01-01;0;1;1;42;7;False
2023-01-02;1;2;0;51;8;False
2023-01-03;0;1;2;67;5;False
2023-01-04;0;1;0;84;8;False
2023-01-05;0;0;1;88;7;False
2023-01-06;0;0;3;94;7;False
2023-01-07;0;0;2;54;5;False
2023-01-08;0;1;2;57;8;False
2023-01-09;0;0;1;75;5;False
2023-01-10;0;0;2;81;7;False
2023-01-11;1;0;1;78;8;False
2023-01-12;0;2;0;86;7;False
2023-01-13;0;0;0;65;6;False
2023-01-14;0;0;1;56;5;False
2023-01-15;0;0;0;55;6;False
2023-01-16;0;0;1;74;6;False
2023-01-17;1;0;1;74;5;False
2023-01-18;0;1;0;78;7;False
2023-01-19;0;1;1;83;7;False
2023-01-20;0;1;1;79;6;False
2023-01-21;0;0;1;59;6;False
2023-01-22;1;0;1;57;7;False
2023-01-23;0;0;1;82;7;False
2023-01-24;0;1;2;92;5;False
2023-01-25;1;0;0;100;7;False
2023-01-26;1;0;1;86;6;False
2023-01-27;0;0;1;77;4;False
2023-01-28;0;1;1;61;6;False
2023-01-29;0;1;1;53;6;False
2023-01-30;0;1;2;84;9;False
2023-01-31;0;0;1;95;8;False
