date;Genetics;Air pollution;Armani ;Santos;air travel;isPartial
2023-01-01;12;1;72;53;15;False
2023-01-02;11;6;87;73;17;False
2023-01-03;14;2;72;100;11;False
2023-01-04;21;5;67;56;17;False
2023-01-05;15;7;71;48;14;False
2023-01-06;18;4;70;54;14;False
2023-01-07;9;5;69;54;10;False
2023-01-08;10;5;77;52;16;False
2023-01-09;18;4;61;37;9;False
2023-01-10;22;8;60;38;15;False
2023-01-11;23;5;62;40;17;False
2023-01-12;19;5;61;47;14;False
2023-01-13;15;4;62;46;11;False
2023-01-14;15;3;77;44;11;False
2023-01-15;17;3;72;51;13;False
2023-01-16;20;10;62;31;13;False
2023-01-17;20;8;55;37;11;False
2023-01-18;13;6;53;52;15;False
2023-01-19;20;7;60;52;14;False
2023-01-20;17;9;56;60;11;False
2023-01-21;12;0;69;53;12;False
2023-01-22;18;8;71;60;13;False
2023-01-23;21;21;61;67;14;False
2023-01-24;16;15;59;79;10;False
2023-01-25;23;6;65;54;14;False
2023-01-26;18;7;58;48;13;False
2023-01-27;17;6;60;47;9;False
2023-01-28;11;4;71;42;13;False
2023-01-29;10;6;77;39;11;False
2023-01-30;17;8;61;34;19;False
2023-01-31;16;9;62;53;16;False
