date;portugal;Dessert;Manchester United;Eminem;air travel;isPartial
2023-01-01;20;8;19;5;1;False
2023-01-02;21;7;25;5;1;False
2023-01-03;21;5;54;3;1;False
2023-01-04;20;5;24;3;1;False
2023-01-05;20;5;22;3;1;False
2023-01-06;20;7;56;5;1;False
2023-01-07;19;8;25;5;1;False
2023-01-08;23;8;25;5;1;False
2023-01-09;20;5;22;4;1;False
2023-01-10;20;5;58;4;1;False
2023-01-11;19;5;25;4;1;False
2023-01-12;21;5;23;4;1;False
2023-01-13;18;7;23;4;1;False
2023-01-14;21;10;100;5;1;False
2023-01-15;23;9;27;5;1;False
2023-01-16;18;6;20;4;1;False
2023-01-17;18;6;21;4;1;False
2023-01-18;18;5;51;4;1;False
2023-01-19;18;5;22;4;1;False
2023-01-20;16;8;17;5;1;False
2023-01-21;20;10;22;6;1;False
2023-01-22;22;9;86;5;1;False
2023-01-23;19;6;20;4;1;False
2023-01-24;19;6;19;4;1;False
2023-01-25;19;6;56;4;1;False
2023-01-26;17;12;24;4;1;False
2023-01-27;16;8;21;4;1;False
2023-01-28;17;11;55;5;1;False
2023-01-29;21;9;23;5;1;False
2023-01-30;19;6;20;4;1;False
2023-01-31;19;6;28;3;1;False
