date;Algeria;Nauru;Internet safety;Organic gardening;air travel;isPartial
2023-01-01;25;0;5;4;36;False
2023-01-02;60;0;3;0;43;False
2023-01-03;46;7;15;0;28;False
2023-01-04;31;0;7;0;42;False
2023-01-05;30;4;6;4;35;False
2023-01-06;47;3;7;7;35;False
2023-01-07;36;0;0;0;25;False
2023-01-08;56;0;0;6;40;False
2023-01-09;43;5;11;0;24;False
2023-01-10;29;9;6;0;37;False
2023-01-11;48;4;3;4;42;False
2023-01-12;40;0;5;3;35;False
2023-01-13;100;7;11;0;28;False
2023-01-14;53;0;3;7;27;False
2023-01-15;53;0;0;0;31;False
2023-01-16;45;0;12;0;32;False
2023-01-17;70;4;8;0;26;False
2023-01-18;38;3;4;0;38;False
2023-01-19;40;4;10;0;35;False
2023-01-20;34;7;7;0;28;False
2023-01-21;64;3;3;0;30;False
2023-01-22;42;6;14;0;33;False
2023-01-23;29;3;8;3;34;False
2023-01-24;36;0;4;6;26;False
2023-01-25;35;8;10;8;36;False
2023-01-26;40;9;8;0;32;False
2023-01-27;60;8;20;0;22;False
2023-01-28;37;3;3;0;31;False
2023-01-29;38;5;6;2;29;False
2023-01-30;54;8;15;0;47;False
2023-01-31;64;4;31;2;40;False
