date;Woodstock;Punk;Paris Hilton;Gardening advice;air travel;isPartial
2023-01-01;9;26;12;0;8;False
2023-01-02;9;21;9;0;9;False
2023-01-03;10;18;9;0;6;False
2023-01-04;9;23;6;0;9;False
2023-01-05;12;24;7;0;7;False
2023-01-06;9;31;7;0;7;False
2023-01-07;10;28;6;0;5;False
2023-01-08;11;22;9;0;9;False
2023-01-09;9;21;6;0;5;False
2023-01-10;9;23;7;0;8;False
2023-01-11;11;19;5;0;9;False
2023-01-12;11;23;5;0;8;False
2023-01-13;10;26;7;0;6;False
2023-01-14;16;26;6;1;6;False
2023-01-15;11;26;5;1;7;False
2023-01-16;10;21;10;0;7;False
2023-01-17;9;25;6;1;6;False
2023-01-18;10;20;5;1;8;False
2023-01-19;11;18;5;0;7;False
2023-01-20;15;23;6;0;6;False
2023-01-21;10;27;7;0;6;False
2023-01-22;14;22;4;0;7;False
2023-01-23;10;19;5;0;7;False
2023-01-24;13;26;5;1;6;False
2023-01-25;14;21;100;0;8;False
2023-01-26;13;21;25;0;7;False
2023-01-27;10;28;10;0;5;False
2023-01-28;16;27;8;0;7;False
2023-01-29;14;28;15;0;6;False
2023-01-30;14;26;9;0;10;False
2023-01-31;12;22;5;0;9;False
