date;Molde;Rock climbing;Family holidays;AFLW;air travel;isPartial
2023-01-01;5;9;88;3;20;False
2023-01-02;3;17;88;4;24;False
2023-01-03;1;18;73;0;15;False
2023-01-04;2;17;63;0;23;False
2023-01-05;2;17;65;0;19;False
2023-01-06;1;22;67;2;19;False
2023-01-07;4;21;70;0;14;False
2023-01-08;1;14;100;0;22;False
2023-01-09;2;10;51;0;13;False
2023-01-10;0;13;55;0;21;False
2023-01-11;0;12;49;2;24;False
2023-01-12;0;9;53;0;20;False
2023-01-13;0;18;52;2;16;False
2023-01-14;0;22;75;2;15;False
2023-01-15;1;27;85;0;17;False
2023-01-16;4;12;46;2;18;False
2023-01-17;0;10;50;0;15;False
2023-01-18;0;15;49;0;21;False
2023-01-19;0;16;42;0;19;False
2023-01-20;6;13;47;0;16;False
2023-01-21;0;24;58;0;17;False
2023-01-22;0;18;72;0;18;False
2023-01-23;3;14;48;0;19;False
2023-01-24;3;13;44;0;15;False
2023-01-25;2;17;55;2;20;False
2023-01-26;1;19;35;0;18;False
2023-01-27;0;19;30;2;12;False
2023-01-28;0;16;45;3;17;False
2023-01-29;2;22;59;1;16;False
2023-01-30;2;16;45;5;26;False
2023-01-31;0;19;32;0;22;False
