date;tennis;Theme parks;Television industry;Suicide rates;air travel;isPartial
2023-01-01;28;2;0;0;2;False
2023-01-02;37;1;0;0;2;False
2023-01-03;32;1;0;0;1;False
2023-01-04;32;1;0;0;2;False
2023-01-05;32;1;0;0;2;False
2023-01-06;33;2;0;0;2;False
2023-01-07;36;2;0;0;1;False
2023-01-08;36;2;0;0;2;False
2023-01-09;27;1;0;0;1;False
2023-01-10;30;1;0;0;2;False
2023-01-11;31;1;0;0;2;False
2023-01-12;32;1;0;0;2;False
2023-01-13;33;1;1;0;1;False
2023-01-14;38;2;0;0;1;False
2023-01-15;39;2;0;0;2;False
2023-01-16;50;1;0;0;2;False
2023-01-17;60;1;0;0;1;False
2023-01-18;60;1;0;0;2;False
2023-01-19;100;1;0;0;2;False
2023-01-20;63;1;0;0;1;False
2023-01-21;87;1;0;0;2;False
2023-01-22;62;1;0;0;2;False
2023-01-23;49;1;0;0;2;False
2023-01-24;47;1;0;0;1;False
2023-01-25;48;1;0;0;2;False
2023-01-26;43;1;0;0;2;False
2023-01-27;46;1;0;0;1;False
2023-01-28;55;2;0;0;2;False
2023-01-29;65;1;0;0;1;False
2023-01-30;36;1;0;0;2;False
2023-01-31;33;1;0;0;2;False
