date;Audio drama;David Hockney;Poison;Anna Kendrick;air travel;isPartial
2023-01-01;2;7;80;12;18;False
2023-01-02;3;6;100;8;22;False
2023-01-03;0;7;85;9;14;False
2023-01-04;3;8;70;10;21;False
2023-01-05;0;10;60;12;18;False
2023-01-06;1;13;65;8;18;False
2023-01-07;0;6;73;5;13;False
2023-01-08;0;18;72;5;20;False
2023-01-09;0;9;64;7;12;False
2023-01-10;0;13;58;30;19;False
2023-01-11;0;8;59;37;22;False
2023-01-12;4;15;57;15;18;False
2023-01-13;0;12;61;16;14;False
2023-01-14;0;7;68;13;14;False
2023-01-15;2;10;78;9;16;False
2023-01-16;1;13;69;12;17;False
2023-01-17;1;8;71;12;13;False
2023-01-18;0;8;76;8;19;False
2023-01-19;0;10;77;12;18;False
2023-01-20;1;12;73;13;14;False
2023-01-21;2;7;82;15;15;False
2023-01-22;3;11;72;11;17;False
2023-01-23;0;10;56;9;17;False
2023-01-24;0;12;64;9;13;False
2023-01-25;0;13;62;11;18;False
2023-01-26;0;7;56;14;16;False
2023-01-27;0;9;70;15;11;False
2023-01-28;0;9;79;15;16;False
2023-01-29;1;12;74;16;15;False
2023-01-30;1;14;67;8;24;False
2023-01-31;0;12;57;10;20;False
