date;Hospices;Knives Out;california;Science fiction books;air travel;isPartial
2023-01-01;0;100;41;0;4;False
2023-01-02;0;67;33;0;4;False
2023-01-03;0;38;32;0;3;False
2023-01-04;0;32;33;0;4;False
2023-01-05;0;24;33;0;4;False
2023-01-06;0;31;37;0;4;False
2023-01-07;1;40;33;0;3;False
2023-01-08;0;34;39;0;4;False
2023-01-09;0;16;37;0;2;False
2023-01-10;1;14;53;0;4;False
2023-01-11;0;11;48;0;4;False
2023-01-12;0;13;45;0;4;False
2023-01-13;1;17;38;0;3;False
2023-01-14;0;23;33;0;3;False
2023-01-15;0;18;41;0;3;False
2023-01-16;0;9;33;0;3;False
2023-01-17;0;7;32;0;3;False
2023-01-18;0;6;30;0;4;False
2023-01-19;0;6;32;1;4;False
2023-01-20;1;10;34;1;3;False
2023-01-21;1;18;35;1;3;False
2023-01-22;0;13;55;0;3;False
2023-01-23;0;7;49;0;4;False
2023-01-24;0;5;40;0;3;False
2023-01-25;0;4;32;0;4;False
2023-01-26;0;6;30;0;3;False
2023-01-27;0;7;31;1;2;False
2023-01-28;0;12;31;0;3;False
2023-01-29;0;11;32;0;3;False
2023-01-30;0;4;30;0;5;False
2023-01-31;0;3;27;0;4;False
