date;London;climate crisis;Pacific islands;buckinghamshire;air travel;isPartial
2023-01-01;100;0;0;0;0;False
2023-01-02;89;0;0;0;0;False
2023-01-03;88;0;0;1;0;False
2023-01-04;90;0;0;1;0;False
2023-01-05;79;0;0;0;0;False
2023-01-06;83;0;0;0;0;False
2023-01-07;76;0;0;0;0;False
2023-01-08;83;0;0;0;0;False
2023-01-09;86;0;0;0;0;False
2023-01-10;79;0;0;1;0;False
2023-01-11;79;0;0;0;0;False
2023-01-12;85;0;0;0;0;False
2023-01-13;79;0;0;0;0;False
2023-01-14;83;0;0;0;0;False
2023-01-15;92;0;0;0;0;False
2023-01-16;85;0;0;0;0;False
2023-01-17;78;0;0;0;0;False
2023-01-18;80;0;0;0;0;False
2023-01-19;83;0;0;1;0;False
2023-01-20;80;0;0;0;0;False
2023-01-21;92;0;0;0;0;False
2023-01-22;82;0;0;0;0;False
2023-01-23;87;0;0;0;0;False
2023-01-24;89;0;0;0;0;False
2023-01-25;80;0;0;0;0;False
2023-01-26;77;0;0;0;0;False
2023-01-27;87;0;0;0;0;False
2023-01-28;88;0;0;0;0;False
2023-01-29;79;0;0;0;0;False
2023-01-30;83;0;0;1;0;False
2023-01-31;84;0;0;1;0;False
