date;facebook;Nasa;Romania;Sheffield;air travel;isPartial
2023-01-01;100;1;2;15;0;False
2023-01-02;89;1;2;21;0;False
2023-01-03;75;1;2;17;0;False
2023-01-04;83;1;2;16;0;False
2023-01-05;80;1;2;15;0;False
2023-01-06;82;1;2;15;0;False
2023-01-07;77;1;2;32;0;False
2023-01-08;83;1;2;17;0;False
2023-01-09;76;1;2;16;0;False
2023-01-10;80;1;2;15;0;False
2023-01-11;72;1;2;15;0;False
2023-01-12;79;1;2;16;0;False
2023-01-13;73;1;2;17;0;False
2023-01-14;78;1;2;23;0;False
2023-01-15;80;1;2;17;0;False
2023-01-16;86;1;2;19;0;False
2023-01-17;78;1;2;17;0;False
2023-01-18;78;1;2;16;0;False
2023-01-19;79;1;2;16;0;False
2023-01-20;82;1;2;22;0;False
2023-01-21;87;1;2;22;0;False
2023-01-22;80;1;2;16;0;False
2023-01-23;81;1;2;15;0;False
2023-01-24;77;1;2;17;0;False
2023-01-25;77;1;2;16;0;False
2023-01-26;76;1;2;16;0;False
2023-01-27;83;1;2;17;0;False
2023-01-28;76;1;2;21;0;False
2023-01-29;81;1;2;32;0;False
2023-01-30;74;1;2;20;0;False
2023-01-31;77;1;2;22;0;False
