date;Long Covid;Scotland women's football team;Cannabis;Conservatives;air travel;isPartial
2023-01-01;86;0;53;4;17;False
2023-01-02;100;0;53;4;20;False
2023-01-03;99;0;65;6;13;False
2023-01-04;93;4;68;5;19;False
2023-01-05;85;0;58;4;16;False
2023-01-06;74;3;60;4;16;False
2023-01-07;66;3;51;5;12;False
2023-01-08;64;0;63;7;19;False
2023-01-09;67;0;52;4;11;False
2023-01-10;59;0;54;6;17;False
2023-01-11;57;2;59;9;20;False
2023-01-12;79;0;68;12;16;False
2023-01-13;57;0;50;8;13;False
2023-01-14;51;0;54;7;12;False
2023-01-15;52;0;53;7;15;False
2023-01-16;55;2;56;9;15;False
2023-01-17;48;0;47;6;12;False
2023-01-18;46;0;46;2;18;False
2023-01-19;44;0;55;6;16;False
2023-01-20;53;0;55;7;13;False
2023-01-21;41;0;60;5;14;False
2023-01-22;53;0;54;7;15;False
2023-01-23;57;1;61;10;16;False
2023-01-24;54;0;54;3;12;False
2023-01-25;51;0;61;6;16;False
2023-01-26;56;0;47;7;15;False
2023-01-27;41;0;49;6;10;False
2023-01-28;42;0;47;3;14;False
2023-01-29;56;0;52;9;13;False
2023-01-30;92;0;56;7;22;False
2023-01-31;65;1;55;6;18;False
