date;Zimbabwe;rwanda;premier league;Last Tango in Paris;air travel;isPartial
2023-01-01;1;0;67;0;0;False
2023-01-02;1;0;54;0;0;False
2023-01-03;1;0;61;0;0;False
2023-01-04;1;0;58;0;0;False
2023-01-05;1;0;42;0;0;False
2023-01-06;1;0;25;0;0;False
2023-01-07;1;0;23;0;0;False
2023-01-08;1;0;14;0;0;False
2023-01-09;1;0;10;0;0;False
2023-01-10;1;0;11;0;0;False
2023-01-11;1;0;13;0;0;False
2023-01-12;1;0;26;0;0;False
2023-01-13;1;0;29;0;0;False
2023-01-14;1;0;100;0;0;False
2023-01-15;1;0;79;0;0;False
2023-01-16;1;0;21;0;0;False
2023-01-17;1;0;16;0;0;False
2023-01-18;1;0;32;0;0;False
2023-01-19;1;0;37;0;0;False
2023-01-20;1;0;24;0;0;False
2023-01-21;1;0;91;0;0;False
2023-01-22;1;1;95;0;0;False
2023-01-23;1;0;35;0;0;False
2023-01-24;1;0;23;0;0;False
2023-01-25;1;0;13;0;0;False
2023-01-26;1;0;10;0;0;False
2023-01-27;1;0;14;0;0;False
2023-01-28;1;0;20;0;0;False
2023-01-29;1;0;15;0;0;False
2023-01-30;1;0;11;0;0;False
2023-01-31;1;0;12;0;0;False
