date;"nurses&#39; strike";Chefs;Iran's nuclear programme;Skincare;air travel;isPartial
2023-01-01;0;35;0;77;16;False
2023-01-02;0;34;0;98;19;False
2023-01-03;0;25;0;85;12;False
2023-01-04;0;28;0;77;19;False
2023-01-05;0;29;0;97;15;False
2023-01-06;0;31;0;75;16;False
2023-01-07;0;34;0;88;11;False
2023-01-08;0;31;0;84;18;False
2023-01-09;0;24;0;80;11;False
2023-01-10;0;29;0;67;17;False
2023-01-11;0;25;0;72;19;False
2023-01-12;0;32;0;74;16;False
2023-01-13;0;26;0;72;13;False
2023-01-14;0;25;0;82;12;False
2023-01-15;0;31;0;100;14;False
2023-01-16;0;23;0;78;15;False
2023-01-17;0;26;0;79;12;False
2023-01-18;0;25;0;75;17;False
2023-01-19;0;25;0;72;15;False
2023-01-20;0;28;0;78;13;False
2023-01-21;0;30;0;100;13;False
2023-01-22;0;34;0;93;15;False
2023-01-23;0;30;0;80;15;False
2023-01-24;0;24;0;78;12;False
2023-01-25;0;23;0;82;16;False
2023-01-26;0;29;0;67;14;False
2023-01-27;0;30;0;68;10;False
2023-01-28;0;36;0;86;14;False
2023-01-29;0;34;0;86;13;False
2023-01-30;0;26;0;76;21;False
2023-01-31;0;36;0;74;18;False
