date;Ilhan Omar;Bank of England;Picture books;cate blanchett;air travel;isPartial
2023-01-01;1;17;2;16;12;False
2023-01-02;1;27;2;5;14;False
2023-01-03;0;39;2;6;9;False
2023-01-04;3;43;2;5;14;False
2023-01-05;0;41;3;6;12;False
2023-01-06;0;36;2;6;12;False
2023-01-07;0;20;2;11;8;False
2023-01-08;2;21;2;7;13;False
2023-01-09;0;37;3;7;8;False
2023-01-10;0;36;3;8;13;False
2023-01-11;2;38;2;33;14;False
2023-01-12;1;43;4;20;12;False
2023-01-13;0;36;2;100;10;False
2023-01-14;0;23;2;50;9;False
2023-01-15;0;20;1;30;11;False
2023-01-16;0;32;2;41;11;False
2023-01-17;0;45;3;29;9;False
2023-01-18;0;46;2;10;13;False
2023-01-19;0;37;2;14;12;False
2023-01-20;0;37;2;16;9;False
2023-01-21;0;23;1;20;10;False
2023-01-22;0;20;3;15;11;False
2023-01-23;1;34;3;12;11;False
2023-01-24;1;42;2;20;9;False
2023-01-25;1;37;3;10;12;False
2023-01-26;2;34;2;9;11;False
2023-01-27;1;36;2;12;7;False
2023-01-28;3;25;2;11;10;False
2023-01-29;2;25;3;8;10;False
2023-01-30;3;59;2;12;16;False
2023-01-31;0;57;5;5;13;False
