date;Jack Monroe;Gerard Butler;Rural affairs;transgender;air travel;isPartial
2023-01-01;8;22;0;29;16;False
2023-01-02;6;16;0;29;19;False
2023-01-03;6;12;0;28;12;False
2023-01-04;9;10;0;33;18;False
2023-01-05;4;11;0;33;15;False
2023-01-06;17;14;0;34;15;False
2023-01-07;54;16;3;30;11;False
2023-01-08;33;11;0;28;17;False
2023-01-09;12;9;1;39;10;False
2023-01-10;7;11;1;23;16;False
2023-01-11;7;12;0;27;18;False
2023-01-12;7;14;0;32;15;False
2023-01-13;5;20;0;28;12;False
2023-01-14;0;27;0;27;11;False
2023-01-15;6;17;0;35;14;False
2023-01-16;2;15;1;50;14;False
2023-01-17;4;14;0;55;11;False
2023-01-18;3;13;0;39;16;False
2023-01-19;2;14;0;39;15;False
2023-01-20;6;14;2;29;12;False
2023-01-21;3;17;2;35;13;False
2023-01-22;2;14;0;38;14;False
2023-01-23;6;18;0;29;15;False
2023-01-24;0;14;0;43;11;False
2023-01-25;3;11;0;52;15;False
2023-01-26;5;11;1;100;14;False
2023-01-27;2;22;0;58;10;False
2023-01-28;2;30;1;38;14;False
2023-01-29;6;41;0;53;12;False
2023-01-30;2;18;1;44;21;False
2023-01-31;4;18;0;41;17;False
