date;Denver Nuggets;Cultural trips;Metropolitan police;Mike Pence;air travel;isPartial
2023-01-01;0;0;13;0;76;False
2023-01-02;16;0;28;0;90;False
2023-01-03;10;0;32;6;59;False
2023-01-04;16;0;24;6;89;False
2023-01-05;19;5;36;0;73;False
2023-01-06;7;0;19;0;73;False
2023-01-07;15;0;23;0;53;False
2023-01-08;24;7;21;0;84;False
2023-01-09;5;0;47;0;50;False
2023-01-10;0;0;23;0;79;False
2023-01-11;27;0;26;0;90;False
2023-01-12;9;7;23;7;75;False
2023-01-13;7;10;49;0;60;False
2023-01-14;15;0;26;0;56;False
2023-01-15;6;0;30;0;66;False
2023-01-16;20;0;84;0;68;False
2023-01-17;0;0;84;0;56;False
2023-01-18;6;0;61;0;80;False
2023-01-19;7;0;55;0;73;False
2023-01-20;0;0;42;0;59;False
2023-01-21;12;0;51;7;63;False
2023-01-22;0;6;17;0;70;False
2023-01-23;12;0;26;8;72;False
2023-01-24;0;0;54;54;55;False
2023-01-25;12;0;41;37;75;False
2023-01-26;6;0;34;0;68;False
2023-01-27;11;0;38;0;47;False
2023-01-28;7;5;34;15;66;False
2023-01-29;7;0;29;0;60;False
2023-01-30;0;0;36;0;100;False
2023-01-31;6;0;37;7;84;False
