date;Julia Roberts;eva green;Hillary Clinton;Virginia;air travel;isPartial
2023-01-01;24;6;2;82;14;False
2023-01-02;17;4;0;56;16;False
2023-01-03;13;3;0;47;10;False
2023-01-04;14;0;1;49;16;False
2023-01-05;11;3;2;50;13;False
2023-01-06;19;5;3;56;13;False
2023-01-07;16;5;2;66;9;False
2023-01-08;15;5;0;64;15;False
2023-01-09;11;4;1;48;9;False
2023-01-10;8;3;3;51;14;False
2023-01-11;11;4;1;52;16;False
2023-01-12;13;3;3;46;13;False
2023-01-13;16;3;1;50;11;False
2023-01-14;27;4;2;49;10;False
2023-01-15;10;2;2;48;12;False
2023-01-16;12;3;0;53;12;False
2023-01-17;10;0;3;42;10;False
2023-01-18;9;3;2;41;14;False
2023-01-19;16;2;3;48;13;False
2023-01-20;18;0;3;42;10;False
2023-01-21;19;5;2;45;11;False
2023-01-22;17;11;4;62;12;False
2023-01-23;9;4;0;59;13;False
2023-01-24;11;33;1;54;10;False
2023-01-25;8;15;0;52;13;False
2023-01-26;9;36;0;46;12;False
2023-01-27;16;33;2;45;8;False
2023-01-28;15;13;0;48;12;False
2023-01-29;15;7;0;46;11;False
2023-01-30;11;69;0;48;18;False
2023-01-31;15;100;1;41;15;False
