date;Australian immigration and asylum;elton john;ftx;the king;air travel;isPartial
2023-01-01;0;21;2;81;5;False
2023-01-02;0;13;4;76;6;False
2023-01-03;0;8;5;67;4;False
2023-01-04;0;8;7;63;6;False
2023-01-05;0;18;3;69;5;False
2023-01-06;0;16;4;73;5;False
2023-01-07;0;22;3;70;4;False
2023-01-08;0;15;4;100;6;False
2023-01-09;0;12;4;65;3;False
2023-01-10;0;12;3;69;5;False
2023-01-11;0;10;6;68;6;False
2023-01-12;0;12;7;70;5;False
2023-01-13;0;12;5;62;4;False
2023-01-14;0;18;3;73;4;False
2023-01-15;0;13;5;87;4;False
2023-01-16;0;10;5;68;5;False
2023-01-17;0;9;4;63;4;False
2023-01-18;0;11;3;61;5;False
2023-01-19;0;10;4;63;5;False
2023-01-20;0;12;4;85;4;False
2023-01-21;0;16;3;75;4;False
2023-01-22;0;15;3;85;5;False
2023-01-23;0;9;3;74;5;False
2023-01-24;0;12;2;69;4;False
2023-01-25;0;7;3;63;5;False
2023-01-26;0;10;3;65;5;False
2023-01-27;0;12;2;66;3;False
2023-01-28;0;21;1;84;4;False
2023-01-29;0;14;2;77;4;False
2023-01-30;0;6;3;63;7;False
2023-01-31;0;9;3;69;6;False
