date;Parents and parenting;Polar regions;Joni Mitchell;Quadrophenia;air travel;isPartial
2023-01-01;0;6;41;10;76;False
2023-01-02;0;9;45;0;90;False
2023-01-03;7;8;48;0;59;False
2023-01-04;0;5;30;15;89;False
2023-01-05;0;11;31;7;73;False
2023-01-06;0;0;64;22;73;False
2023-01-07;12;9;26;70;53;False
2023-01-08;0;5;38;41;84;False
2023-01-09;0;13;21;16;50;False
2023-01-10;13;9;16;12;79;False
2023-01-11;5;0;21;21;90;False
2023-01-12;11;8;32;16;75;False
2023-01-13;0;0;20;26;60;False
2023-01-14;0;0;22;19;56;False
2023-01-15;0;5;25;16;66;False
2023-01-16;0;0;18;0;68;False
2023-01-17;0;0;18;18;56;False
2023-01-18;20;0;8;25;80;False
2023-01-19;0;9;31;26;73;False
2023-01-20;0;0;95;13;59;False
2023-01-21;0;0;39;26;63;False
2023-01-22;0;0;30;0;70;False
2023-01-23;0;0;37;0;72;False
2023-01-24;0;8;27;0;55;False
2023-01-25;0;5;35;9;75;False
2023-01-26;7;0;30;12;68;False
2023-01-27;0;16;29;0;47;False
2023-01-28;0;0;16;0;66;False
2023-01-29;0;5;35;17;60;False
2023-01-30;0;0;37;0;100;False
2023-01-31;6;5;26;0;84;False
