date;David Davies;Slavery;Honduras;Guinness World Records;air travel;isPartial
2023-01-01;9;100;11;7;29;False
2023-01-02;5;48;16;5;34;False
2023-01-03;5;54;9;3;22;False
2023-01-04;2;50;22;5;33;False
2023-01-05;0;58;8;5;27;False
2023-01-06;3;48;15;4;28;False
2023-01-07;0;46;20;2;20;False
2023-01-08;3;43;11;7;32;False
2023-01-09;2;55;12;4;19;False
2023-01-10;3;72;12;6;30;False
2023-01-11;0;70;20;2;34;False
2023-01-12;5;67;14;7;28;False
2023-01-13;3;49;7;5;22;False
2023-01-14;6;37;11;3;21;False
2023-01-15;2;49;13;4;25;False
2023-01-16;0;57;9;5;26;False
2023-01-17;0;54;15;3;21;False
2023-01-18;6;62;12;0;30;False
2023-01-19;8;41;11;5;27;False
2023-01-20;3;52;18;2;22;False
2023-01-21;6;32;12;8;24;False
2023-01-22;0;47;12;0;26;False
2023-01-23;6;53;13;5;27;False
2023-01-24;7;62;16;4;21;False
2023-01-25;3;54;9;4;28;False
2023-01-26;9;59;8;0;25;False
2023-01-27;6;47;10;5;18;False
2023-01-28;0;39;6;8;25;False
2023-01-29;3;49;10;3;23;False
2023-01-30;10;56;17;9;37;False
2023-01-31;6;56;10;4;31;False
