date;Catherine, Princess of Wales;Liberal party;Fitness;Duran Duran;air travel;isPartial
2023-01-01;0;7;93;7;4;False
2023-01-02;0;1;100;3;5;False
2023-01-03;0;1;87;3;3;False
2023-01-04;0;1;81;2;5;False
2023-01-05;0;0;79;2;4;False
2023-01-06;0;0;73;4;4;False
2023-01-07;1;0;72;3;3;False
2023-01-08;0;0;89;3;4;False
2023-01-09;0;1;85;2;3;False
2023-01-10;1;0;78;2;4;False
2023-01-11;0;0;77;3;5;False
2023-01-12;0;0;77;7;4;False
2023-01-13;0;1;69;4;3;False
2023-01-14;0;0;68;4;3;False
2023-01-15;0;0;80;3;3;False
2023-01-16;0;0;76;26;3;False
2023-01-17;0;0;72;7;3;False
2023-01-18;0;0;69;4;4;False
2023-01-19;0;1;64;4;4;False
2023-01-20;0;0;67;5;3;False
2023-01-21;0;1;70;6;3;False
2023-01-22;0;0;72;4;4;False
2023-01-23;0;0;78;9;4;False
2023-01-24;0;0;72;5;3;False
2023-01-25;0;1;77;5;4;False
2023-01-26;0;0;72;4;3;False
2023-01-27;2;0;64;5;2;False
2023-01-28;0;0;66;5;3;False
2023-01-29;0;0;76;4;3;False
2023-01-30;0;0;91;5;5;False
2023-01-31;0;1;75;5;4;False
