date;Art;Porridge;Eric Pickles;Rolls-Royce;air travel;isPartial
2023-01-01;65;5;0;0;1;False
2023-01-02;78;7;0;0;2;False
2023-01-03;72;7;0;1;1;False
2023-01-04;79;7;0;1;2;False
2023-01-05;72;5;0;1;1;False
2023-01-06;77;5;0;1;1;False
2023-01-07;72;6;0;0;1;False
2023-01-08;88;7;0;0;2;False
2023-01-09;82;7;0;2;1;False
2023-01-10;78;7;0;1;2;False
2023-01-11;100;6;0;1;2;False
2023-01-12;86;6;0;1;1;False
2023-01-13;71;5;0;1;1;False
2023-01-14;80;6;0;1;1;False
2023-01-15;86;8;0;1;1;False
2023-01-16;100;7;0;1;1;False
2023-01-17;84;7;0;1;1;False
2023-01-18;80;7;0;1;2;False
2023-01-19;81;6;0;1;1;False
2023-01-20;83;6;0;1;1;False
2023-01-21;77;6;0;1;1;False
2023-01-22;81;8;0;0;1;False
2023-01-23;89;7;0;2;1;False
2023-01-24;85;7;0;1;1;False
2023-01-25;76;6;0;2;1;False
2023-01-26;82;6;0;1;1;False
2023-01-27;81;6;0;1;1;False
2023-01-28;69;7;0;0;1;False
2023-01-29;82;7;0;0;1;False
2023-01-30;80;6;0;1;2;False
2023-01-31;81;6;0;1;2;False
