date;Maren Morris;Eritrea;Czech Republic;Woodside;air travel;isPartial
2023-01-01;0;17;62;59;48;False
2023-01-02;0;20;53;76;57;False
2023-01-03;7;20;47;84;37;False
2023-01-04;0;23;66;79;56;False
2023-01-05;7;27;58;89;46;False
2023-01-06;3;30;55;77;46;False
2023-01-07;0;26;35;55;34;False
2023-01-08;4;20;61;61;53;False
2023-01-09;3;22;55;67;32;False
2023-01-10;0;29;56;85;50;False
2023-01-11;0;21;43;76;57;False
2023-01-12;0;19;57;82;47;False
2023-01-13;9;22;65;84;38;False
2023-01-14;21;13;57;63;35;False
2023-01-15;10;16;45;55;42;False
2023-01-16;5;31;63;83;43;False
2023-01-17;7;20;49;63;35;False
2023-01-18;0;26;56;80;51;False
2023-01-19;0;17;49;73;46;False
2023-01-20;17;7;50;96;37;False
2023-01-21;8;21;45;71;40;False
2023-01-22;0;27;60;57;44;False
2023-01-23;0;11;57;70;45;False
2023-01-24;0;27;49;86;35;False
2023-01-25;4;21;63;82;48;False
2023-01-26;0;31;37;70;43;False
2023-01-27;0;18;36;75;30;False
2023-01-28;5;16;53;73;42;False
2023-01-29;7;12;61;68;38;False
2023-01-30;6;28;78;100;63;False
2023-01-31;0;26;60;88;53;False
